time,temperature,pressure,flow_rate,humidity,wind_speed
2024-01-01 00:00:00,23.5,1013.2,15.3,65.2,8.1
2024-01-01 00:01:00,23.6,1013.1,15.4,65.1,8.3
2024-01-01 00:02:30,23.4,1013.3,15.2,65.5,8.0
2024-01-01 00:04:00,23.7,,15.6,64.8,8.5
2024-01-01 00:05:00,23.5,1013.0,15.1,65.0,7.9
2024-01-01 00:06:30,23.8,1013.4,15.7,64.9,8.2
2024-01-01 00:08:00,23.6,1013.2,15.3,65.3,8.4
2024-01-01 00:08:00,23.6,1013.2,15.3,65.3,8.4
2024-01-01 00:10:00,23.9,1013.1,15.8,64.7,8.6
2024-01-01 00:11:30,23.7,1013.5,15.4,65.1,8.1
2024-01-01 00:13:00,24.0,1013.3,15.9,64.6,8.7
2024-01-01 00:15:00,24.1,1013.0,16.0,64.5,8.8
2024-01-01 00:16:00,24.2,1013.2,16.1,64.4,8.9
2024-01-01 00:18:30,24.0,1013.4,15.8,64.8,8.5
2024-01-01 00:20:00,23.8,1013.1,15.6,65.0,8.3
